method,n_early,fold,n_cells,mae,mape_%,rmse,median_ae
NGBoost,50,0,22.0,146.83486594289954,41.74424806927615,215.12998773756232,86.80522952632369
NGBoost,50,1,22.0,133.49803461937978,28.571888202770598,241.170177529481,60.42834883995022
NGBoost,50,2,22.0,174.26211941550685,84.15850768432234,259.2410775670653,99.51089606028205
NGBoost,50,3,22.0,160.89389911515707,44.27381285370795,217.81395389555325,76.54381846035804
NGBoost,50,4,22.0,237.07810532250554,64.05601741054355,361.35676266201637,201.7665725659468
NGBoost,100,0,22.0,104.98712483915742,31.997632528537032,175.5987652532871,42.637851285143824
NGBoost,100,1,22.0,137.634080362754,37.59240142071116,213.85900651735946,64.17727828305914
NGBoost,100,2,20.0,116.88016241934102,23.767434710071875,155.4332098548951,82.142375154435
NGBoost,100,3,21.0,122.40868473455183,22.67882948457757,165.78137185849272,51.48566104350516
NGBoost,100,4,22.0,198.34047527283334,61.46093348204923,297.86794033645873,123.6953483357424
NGBoost,150,0,21.0,95.15817546107266,17.18594240492044,160.63517356544753,39.01762556865515
NGBoost,150,1,21.0,122.75201029981083,25.352822696744653,214.19240543907415,59.66489279950491
NGBoost,150,2,19.0,121.32059019652048,21.702008728975006,176.3151076749907,109.1253528690927
NGBoost,150,3,21.0,93.87205756694685,20.18550616244508,128.49868661626493,79.93182431612513
NGBoost,150,4,20.0,183.86707458397535,32.671161198061284,292.6988338596536,146.61694287246712
SNGP,50,0,22.0,106.54245244806462,31.073067315073004,171.77802599621089,62.65883026123046
SNGP,50,1,22.0,148.0534693631259,32.776015050536245,247.34604832386617,85.1603073120117
SNGP,50,2,22.0,158.23593909523703,75.2991735530776,215.9107991192291,65.42042388916016
SNGP,50,3,22.0,149.1205656225031,41.89462882539842,198.8562364032772,107.1279525756836
SNGP,50,4,22.0,206.23406881852586,49.608769307364604,337.7713532446774,83.30500259399415
SNGP,100,0,22.0,96.23249910528011,32.284369917640966,163.91278812368014,24.328290557861337
SNGP,100,1,22.0,144.66138825850055,32.51231172823676,247.3901295027744,87.67341918945314
SNGP,100,2,20.0,155.99742782592776,32.54487501466121,211.31798999644764,91.33139801025392
SNGP,100,3,21.0,151.344430687314,27.500127368986373,195.66456857265769,113.62944946289063
SNGP,100,4,22.0,209.1394466053356,46.67938618059577,348.33216573637293,98.57571411132812
SNGP,150,0,21.0,74.6505856468564,14.336626793154748,119.4240013946036,34.860617065429665
SNGP,150,1,21.0,114.34351007370722,22.18058221775944,221.77257603544982,56.43987731933589
SNGP,150,2,19.0,103.09835213109066,17.724694485068095,153.63283282923115,47.77326965332031
SNGP,150,3,21.0,94.59356238955544,18.352610516113817,139.2264781851978,30.948638916015625
SNGP,150,4,20.0,181.09158035278318,29.90327805318288,316.50931685419675,92.9900703430176
