n_seeds,n_test,MAE,MedAE,RMSE,mean_sigma,PICP_gauss,MPIW_gauss,NLL_gauss,CRPS_gauss,PICP_conformal,MPIW_conformal,q_hat,method,n_early,fold
10,22,480.71274552778755,159.9183868408203,1047.0834599326745,159.30428521257014,0.2727272727272727,624.4727980332748,18.00077701308872,404.86331936262286,0.7727272727272727,950.1578643798825,475.0789321899414,CQR_MLP,50,4
10,22,231.57249700372867,162.30028915405273,387.4608448632723,118.68308779656876,0.5,465.2377041625495,27.312669384625146,177.43959324605174,1.0,3192.3404785156254,1596.1702392578125,CQR_MLP,100,0
10,22,276.98299151333896,112.70795440673828,562.3546375135641,109.57409240627234,0.45454545454545453,429.5304422325875,19.4759435624723,227.07102820892544,0.9545454545454546,2504.0713745117177,1252.0356872558593,CQR_MLP,100,1
10,20,52383744922645.27,192.80916023254395,234267229124104.44,112494103463794.34,0.45,440976885578073.9,11.033539609696435,35848560760720.44,0.95,864878.3894140624,432439.191796875,CQR_MLP,100,2
10,21,194.83935650416782,143.2812629699707,246.55997624359196,72.58089053323882,0.3333333333333333,284.51709089029606,19.159041116751098,162.20447237888544,1.0,2674.2433593750006,1337.1216796875,CQR_MLP,100,3
10,22,273.83090057373045,229.0703269958496,365.87004699479263,78.71501894176343,0.4090909090909091,308.5628742517125,30.283268325664757,237.9031056009784,1.0,3669.991455078125,1834.9957275390625,CQR_MLP,100,4
10,21,230.43240639822818,90.70769958496095,574.9572656308868,110.28983225785636,0.47619047619047616,432.33614245079696,11.34240611943542,177.93902537214277,0.9523809523809523,2437.7323120117194,1218.8661560058595,CQR_MLP,150,0
10,21,324.2142079852876,136.26675872802736,571.2777785582941,118.04921569836287,0.47619047619047616,462.7529255375823,18.19294364793786,269.8394489427093,1.0,4277.22265625,2138.611328125,CQR_MLP,150,1
10,19,389.00542515202574,121.38883838653564,1031.2240098436596,393.76036066479725,0.7368421052631579,1543.5406138060057,7.6013719308279235,262.4934609667665,1.0,168103.1859375,84051.59296875,CQR_MLP,150,2
10,21,inf,149.92792053222655,inf,,0.38095238095238093,,,,0.8095238095238095,,1923.380749511719,CQR_MLP,150,3
10,20,289.9725939941406,248.3874496459961,396.20776462209534,91.45484341754143,0.3,358.50298619676244,18.23622931857623,241.5851633515339,1.0,2120.3026855468756,1060.1513427734376,CQR_MLP,150,4
10,22,131.74907247369936,94.57341842651367,181.5611081081026,44.118648945436334,0.4090909090909091,172.94510386611043,12.022399907308579,111.92475944257673,1.0,1301.4947753906245,650.7473876953125,CQR_PINN_Knee_FLAGSHIP,50,0
10,22,146.57947387695313,89.43041076660157,215.51121363227296,37.49317097359332,0.3181818181818182,146.97323021648583,17.720937775973855,129.84799636432965,0.9545454545454546,1036.249755859375,518.1248779296875,CQR_PINN_Knee_FLAGSHIP,50,1
10,22,171.79942127574574,126.00503540039062,226.95075051436206,41.22222866340753,0.3181818181818182,161.59113636055753,25.231463087616884,154.10105779547368,1.0,1077.0190551757807,538.5095275878906,CQR_PINN_Knee_FLAGSHIP,50,2
10,22,140.15297518643467,81.99703216552734,194.27613256029403,36.448801039086405,0.36363636363636365,142.87930007321873,41.99493777496066,125.87218416635179,1.0,1411.3846313476565,705.6923156738281,CQR_PINN_Knee_FLAGSHIP,50,3
10,22,237.71754899160425,217.9099830299616,343.0598453262159,34.09691912291228,0.2727272727272727,133.65992296181614,68.09532109741487,219.9112521788039,0.9090909090909091,1110.3829956054688,555.1914978027344,CQR_PINN_Knee_FLAGSHIP,50,4
10,22,140.5509975086559,88.50868377685546,201.32493445952562,36.64252658567918,0.2727272727272727,143.63870421586242,24.435001743841454,122.72958931774252,1.0,1240.4093139648432,620.2046569824219,CQR_PINN_Knee_FLAGSHIP,100,0
10,22,167.92990930598614,118.55618591308593,235.53509130072533,89.910692481244,0.7272727272727273,352.44991452647645,8.803990249832419,132.35347684897067,0.9545454545454546,1027.5005981445318,513.7502990722656,CQR_PINN_Knee_FLAGSHIP,100,1
